2024-05-22 21:16:52 - LILAK: Onceki Kapanis: 8.56 TL, Son Kapanis: 8.56 TL, Degisim: -0.01 TL, Yuzde Degisim: -0.12%
2024-05-22 21:17:06 - LILAK: Onceki Kapanis: 8.56 TL, Son Kapanis: 8.56 TL, Degisim: -0.01 TL, Yuzde Degisim: -0.12%
2024-05-22 21:17:21 - LILAK: Onceki Kapanis: 8.56 TL, Son Kapanis: 8.56 TL, Degisim: -0.01 TL, Yuzde Degisim: -0.12%
2024-05-22 21:17:31 - LILAK: Onceki Kapanis: 8.56 TL, Son Kapanis: 8.56 TL, Degisim: -0.01 TL, Yuzde Degisim: -0.12%
2024-05-22 21:30:43 - LILAK: Onceki Kapanis: 8.53 TL, Son Kapanis: 8.52 TL, Degisim: -0.01 TL, Yuzde Degisim: -0.12%
2024-05-22 21:30:58 - LILAK: Onceki Kapanis: 8.53 TL, Son Kapanis: 8.52 TL, Degisim: -0.01 TL, Yuzde Degisim: -0.12%
2024-05-22 21:31:07 - LILAK: Onceki Kapanis: 8.53 TL, Son Kapanis: 8.52 TL, Degisim: -0.01 TL, Yuzde Degisim: -0.12%
2024-05-22 21:31:12 - LILAK: Onceki Kapanis: 8.53 TL, Son Kapanis: 8.52 TL, Degisim: -0.01 TL, Yuzde Degisim: -0.12%
2024-05-22 21:31:21 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.52 TL, Degisim: 0.00 TL, Yuzde Degisim: 0.00%
2024-05-22 21:31:28 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.52 TL, Degisim: 0.00 TL, Yuzde Degisim: 0.00%
2024-05-22 21:34:44 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.52 TL, Degisim: 0.00 TL, Yuzde Degisim: 0.00%
2024-05-22 21:34:58 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.52 TL, Degisim: 0.00 TL, Yuzde Degisim: 0.00%
2024-05-22 21:35:11 - LILAK: Onceki Kapanis: 8.52 TL, Son Kapanis: 8.52 TL, Degisim: 0.00 TL, Yuzde Degisim: 0.00%
